,000300.SH,HSI.HI,SPX.GI,AU9999.SGE,中债综合全价总值指数
2016-01-04,3469.0662,17894.7333072,13088.730512000002,224.77,119.1701
2016-01-05,3478.7797,17815.475776,13142.697399,226.65,119.0748
2016-01-06,3539.8082,17679.0599303,12999.184163999998,228.09,119.1224
2016-01-07,3294.3839,17218.272312,12755.608614,233.24,119.2299
2016-01-08,3361.5632,17312.2246811,12615.436108,233.54,119.338
2016-01-11,3192.4499,16813.7379,12624.276742,234.89,119.4152
2016-01-12,3215.7099,16669.8411968,12723.169103999999,232.51,119.6002
2016-01-13,3155.8787,16861.3202016,12405.90764,229.27,119.836
2016-01-14,3221.5714,16754.6292845,12610.345343999998,231.41,119.785
2016-01-15,3118.7301,16476.3107108,12341.922020999998,230.5,119.7776
2016-01-18,3130.7289,16179.2725735,12333.08447,231.7,119.6981
2016-01-19,3223.1251,16507.432750800002,12340.772268,231.3,119.609
2016-01-20,3174.3781,15838.995494999997,12193.114273999998,232.3,119.4985
2016-01-21,3081.3454,15560.201437000002,12257.770915000001,234.17,119.4974
2016-01-22,3113.4626,16020.759416399998,12503.92468,232.5,119.5708
2016-01-25,3128.886,16260.802909200002,12305.573356,233.69,119.3748
2016-01-26,2940.5085,15857.406207999999,12477.913924,237.0,119.3171
2016-01-27,2930.3519,16029.016709500002,12339.536235000001,237.09,119.141
2016-01-28,2853.7562,16145.036738100001,12406.809408,236.79,119.1178
2016-01-29,2946.0902,16551.7240301,12711.676383999999,236.48,119.2462
2016-02-01,2901.0477,16500.58673,12710.502582,238.09,119.3102
2016-02-02,2961.3337,16378.3231164,12466.749530000001,238.5,119.2062
2016-02-03,2948.6386,15954.265011300002,12531.087813,238.5,119.1266
2016-02-04,2984.7598,16109.7671511,12530.682355000003,241.8,119.209
2016-02-05,2963.7894,16180.845812999998,12279.358569999999,243.94,119.2149
2016-02-15,2946.7066,15817.835216799998,12143.074403999999,253.7,119.422
2016-02-16,3037.0353,16000.400440000001,12345.91254,251.39,119.3662
2016-02-17,3063.3199,15843.8392497,12569.995633999999,254.0,119.3603
2016-02-18,3053.6985,16203.025344000003,12495.046016,253.05,119.3753
2016-02-19,3051.585,16162.02042,12501.240708,256.65,119.4376
2016-02-22,3118.8675,16322.975155799999,12677.85075,254.86,119.4198
2016-02-23,3089.3632,16311.327416999999,12540.705671,256.15,119.4314
2016-02-24,3109.5454,16132.5976965,12601.979959999999,256.98,119.4178
2016-02-25,2918.7501,15883.3609875,12748.11406,260.32,119.353
2016-02-26,2948.0306,16285.637433000002,12728.16909,260.41,119.3438
2016-02-29,2877.4666,16089.5693898,12646.831795999999,258.86,119.3037
2016-03-01,2930.6937,16324.3909044,12935.441475,261.12,119.3459
2016-03-02,3051.3327,16851.140010900002,13009.26105,258.66,119.3446
2016-03-03,3058.4219,16782.1875456,13039.22808,261.47,119.3084
2016-03-04,3093.8895,16954.279243,13056.734716,264.74,119.3468
2016-03-07,3104.8397,16905.5379976,13034.059888,265.0,119.2768
2016-03-08,3107.6727,16760.098481600002,12873.304965999998,266.29,119.2581
2016-03-09,3071.907,16762.264870199997,12951.276155999998,263.75,119.3675
2016-03-10,3013.1457,16761.132898199998,12957.472538999999,261.43,119.4555
2016-03-11,3018.2844,16887.269591999997,13125.024195,264.97,119.4928
2016-03-14,3065.6904,17093.9575566,13110.089132000001,262.08,119.4933
2016-03-15,3074.7796,17016.5971744,13119.470846999999,257.69,119.529
2016-03-16,3090.0328,17013.429345,13211.798184,259.09,119.6282
2016-03-17,3124.2039,17169.0703416,13255.876699,263.86,119.6799
2016-03-18,3171.963,17225.669278999998,13246.025623999998,262.46,119.6842
2016-03-21,3249.4372,17290.708350999997,13299.29184,259.71,119.6634
2016-03-22,3225.7903,17317.2898275,13317.755580000003,262.1,119.6405
2016-03-23,3236.0924,17264.8428204,13225.580056,258.25,119.6805
2016-03-24,3181.8507,17083.8018048,13264.1491,255.0,119.6967
2016-03-25,3197.8169,17100.6886611,13279.011462,256.05,119.7193
2016-03-28,3169.7283,17106.792344100002,13288.08456,255.78,119.6207
2016-03-29,3135.4098,17080.197494999997,13369.895060000003,255.02,119.5947
2016-03-30,3216.2753,17392.050107799998,13382.858194999999,258.68,119.6336
2016-03-31,3218.0879,17312.185275,13308.392087999999,255.7,119.6566
2016-04-01,3221.8948,17071.500576,13387.049630000001,257.0,119.6825
2016-04-05,3264.4858,16824.79322,13224.682771000002,255.45,119.667
2016-04-06,3257.5276,16870.1446496,13382.450163999998,255.99,119.6454
2016-04-07,3209.2902,16909.181478000002,13212.587037000003,255.64,119.5807
2016-04-08,3185.7258,16993.802496000004,13254.72908,257.3,119.5179
2016-04-11,3230.0957,17033.7357892,13201.261151,260.97,119.4686
2016-04-12,3218.4497,17084.299408,13322.009951999999,261.3,119.4029
2016-04-13,3261.3831,17623.3011461,13450.559022,259.8,119.2145
2016-04-14,3275.8321,17849.2914431,13515.367698,257.99,119.0738
2016-04-15,3272.2053,17837.622096000003,13505.602284,256.95,119.0939
2016-04-18,3228.4531,17678.528715,13568.600558,258.28,119.1104
2016-04-19,3238.3029,17883.8012788,13592.176000000001,259.9,119.0713
2016-04-20,3181.0264,17683.2629739,13577.08896,260.0,118.8894
2016-04-21,3160.6033,18065.389875,13553.417844,262.74,118.7507
2016-04-22,3174.9012,17958.0376416,13573.935883999999,260.44,118.5722
2016-04-25,3162.0331,17885.716513199997,13595.68848,259.06,118.2093
2016-04-26,3179.1605,17906.9672823,13571.36794,258.4,118.2595
2016-04-27,3165.9156,17858.297599999998,13584.324055000001,260.67,118.3522
2016-04-28,3160.5809,17910.1224417,13483.216274,261.5,118.4185
2016-04-29,3156.7451,17539.7938185,13339.56617,266.32,118.4158
2016-05-03,3213.5397,17205.281774,13322.148405,270.69,118.5229
2016-05-04,3209.4614,17174.3724776,13320.588615999997,268.35,118.5177
2016-05-05,3213.9199,17158.421470999998,13355.343063999999,267.6,118.5258
2016-05-06,3130.3544,16894.502885699996,13412.964227999999,268.23,118.5357
2016-05-09,3065.6154,16911.3620219,13403.101245,268.1,118.6761
2016-05-10,3069.1124,17009.114296800002,13597.101287000001,266.0,118.7501
2016-05-11,3082.8086,16850.6552109,13462.137214,267.03,118.7824
2016-05-12,3090.1372,16670.833256799997,13408.252149000002,266.4,118.8558
2016-05-13,3074.9351,16578.401488800002,13353.311606,267.49,118.878
2016-05-16,3095.3085,16733.7358015,13504.176437999997,269.35,118.8192
2016-05-17,3086.0249,16897.981308,13347.8092,267.89,118.7984
2016-05-18,3068.0358,16656.7618333,13353.823808,267.93,118.7101
2016-05-19,3062.5002,16616.5001076,13368.586124,264.5,118.6604
2016-05-20,3078.2183,16744.735134,13444.74832,264.51,118.6526
2016-05-23,3087.2225,16693.069581,13405.445819999999,264.11,118.6341
2016-05-24,3063.5556,16715.267751299998,13591.549607999998,262.45,118.6619
2016-05-25,3059.2259,17226.6856485,13733.384421999997,258.45,118.6816
2016-05-26,3064.2111,17221.6879152,13701.023519999999,259.85,118.6699
2016-05-27,3062.4993,17352.5959087,13746.743939999998,258.03,118.6472
2016-05-30,3066.7095,17473.09333,13808.456304,255.3,118.6111
2016-05-31,3169.5598,17627.2589665,13795.89984,256.9,118.6097
2016-06-01,3160.547,17603.0273322,13832.275436999998,258.3,118.5926
2016-06-02,3167.0997,17635.427549,13829.031888000001,257.98,118.5674
2016-06-03,3189.3255,17737.7038872,13810.806009,257.4,118.5591
2016-06-06,3178.7883,17731.8402952,13816.002677,262.49,118.6142
2016-06-07,3177.0536,18017.244022400002,13859.374634,262.9,118.603
2016-06-08,3163.9864,17987.7634904,13899.943815999997,265.1,118.5857
2016-06-13,3066.3413,17388.2462333,13681.25433,271.75,118.5441
2016-06-14,3075.9834,17278.6355503,13653.737812,271.5,118.6326
2016-06-15,3116.3682,17404.760307200002,13672.10715,272.78,118.6773
2016-06-16,3094.6748,16975.547503,13660.498461,277.66,118.7252
2016-06-17,3110.3572,17103.9413402,13627.591989999999,272.7,118.7555
2016-06-20,3112.6744,17367.832258000002,13688.6191,272.0,118.7455
2016-06-21,3106.3175,17486.740346399998,13714.88184,271.64,118.7372
2016-06-22,3133.9611,17671.900927199997,13750.414575,268.56,118.7989
2016-06-23,3117.3168,17662.128242400002,13875.636456000002,268.9,118.8048
2016-06-24,3077.1554,17177.918918299998,13401.268016000002,281.44,118.8713
2016-06-27,3120.5443,17298.791506,13278.58425,282.84,118.9997
2016-06-28,3136.4013,17295.0603056,13545.699552,281.67,119.0096
2016-06-29,3151.3898,17469.2040984,13734.174948000002,283.0,118.9856
2016-06-30,3153.921,17772.3242079,13917.960432,281.5,119.0392
2016-07-01,3154.2003,17820.77509,13983.776319999999,285.89,119.1465
2016-07-04,3204.6962,18043.943744,13978.72924,289.87,119.1694
2016-07-05,3207.3827,17811.5880192,13908.489870000003,288.68,119.1559
2016-07-06,3216.8035,17660.5864401,14038.164861000001,293.82,119.2032
2016-07-07,3209.9542,17835.077265199998,14018.167800000001,294.25,119.315
2016-07-08,3192.2804,17720.145289,14239.02047,291.63,119.3516
2016-07-11,3203.3298,17990.847605,14285.418587999999,293.0,119.3414
2016-07-12,3273.1823,18315.889383,14408.577299999999,292.4,119.3168
2016-07-13,3282.8681,18384.147414,14397.819512999999,289.42,119.274
2016-07-14,3276.7637,18581.7527292,14463.80325,287.4,119.2815
2016-07-15,3276.2775,18660.743430000002,14441.504069999997,287.04,119.3038
2016-07-18,3262.0222,18827.700025399998,14509.712129,286.29,119.3161
2016-07-19,3248.2341,18716.97552,14491.051038000003,287.02,119.3657
2016-07-20,3237.6051,18888.7379112,14547.499692000001,285.85,119.4959
2016-07-21,3252.5227,18969.262487800002,14478.924824000002,283.34,119.6405
2016-07-22,3225.1621,18880.266849300002,14500.707507000003,285.0,119.6276
2016-07-25,3230.885,18956.805739199997,14498.45728,283.27,119.577
2016-07-26,3269.5882,19051.0419624,14485.350203999998,283.97,119.6051
2016-07-27,3218.243,19097.6662848,14444.805518000001,283.63,119.6441
2016-07-28,3221.1365,19038.888324,14451.948581999999,287.71,119.684
2016-07-29,3203.9304,18772.068688699997,14456.830960000001,285.83,119.7451
2016-08-01,3176.8091,18905.366884799998,14387.676268000001,288.17,119.7766
